season,team,season_start_year,season_idx,split,points,goal_diff,matches,goals_for,goals_against,points_per_match,gd_per_match,xg_league,xga_league,xgd_league,xgd_per_match,xg_squad,xg_per_match_squad
2023-24,Wolves,2023,6,test,46,-15,38,50,65,1.2105263157894737,-0.39473684210526316,46.7,67.7,-21.0,-0.5526315789473685,46.7,1.2289473684210528
2024-25,Arsenal,2024,7,test,74,35,38,69,34,1.9473684210526316,0.9210526315789473,59.9,34.4,25.5,0.6710526315789473,59.9,1.5763157894736841
2024-25,Aston Villa,2024,7,test,66,7,38,58,51,1.736842105263158,0.18421052631578946,56.1,50.1,6.0,0.15789473684210525,56.1,1.4763157894736842
2024-25,Bournemouth,2024,7,test,56,12,38,58,46,1.4736842105263157,0.3157894736842105,64.0,48.5,15.5,0.40789473684210525,64.0,1.6842105263157894
2024-25,Brentford,2024,7,test,56,9,38,66,57,1.4736842105263157,0.23684210526315788,59.0,55.4,3.6000000000000014,0.09473684210526319,59.0,1.5526315789473684
2024-25,Brighton,2024,7,test,61,7,38,66,59,1.605263157894737,0.18421052631578946,58.7,54.6,4.100000000000001,0.10789473684210531,58.7,1.5447368421052632
2024-25,Chelsea,2024,7,test,69,21,38,64,43,1.8157894736842106,0.5526315789473685,67.8,47.3,20.5,0.5394736842105263,67.8,1.7842105263157895
2024-25,Crystal Palace,2024,7,test,53,0,38,51,51,1.394736842105263,0.0,60.4,49.1,11.299999999999997,0.2973684210526315,60.4,1.5894736842105264
2024-25,Everton,2024,7,test,48,-2,38,42,44,1.263157894736842,-0.05263157894736842,41.8,46.2,-4.400000000000006,-0.11578947368421068,41.8,1.0999999999999999
2024-25,Fulham,2024,7,test,54,0,38,54,54,1.4210526315789473,0.0,49.0,47.2,1.7999999999999972,0.047368421052631504,49.0,1.2894736842105263
2024-25,Ipswich Town,2024,7,test,22,-46,38,36,82,0.5789473684210527,-1.2105263157894737,34.4,72.7,-38.300000000000004,-1.0078947368421054,34.4,0.9052631578947368
2024-25,Leicester City,2024,7,test,25,-47,38,33,80,0.6578947368421053,-1.236842105263158,32.6,71.9,-39.300000000000004,-1.0342105263157897,32.6,0.8578947368421053
2024-25,Liverpool,2024,7,test,84,45,38,86,41,2.210526315789474,1.1842105263157894,82.2,38.6,43.6,1.1473684210526316,82.2,2.1631578947368424
2024-25,Manchester City,2024,7,test,71,28,38,72,44,1.868421052631579,0.7368421052631579,68.1,47.7,20.39999999999999,0.5368421052631577,68.1,1.7921052631578946
2024-25,Manchester Utd,2024,7,test,42,-10,38,44,54,1.105263157894737,-0.2631578947368421,52.6,53.8,-1.1999999999999957,-0.03157894736842094,52.6,1.3842105263157896
2024-25,Newcastle Utd,2024,7,test,66,21,38,68,47,1.736842105263158,0.5526315789473685,63.8,45.5,18.299999999999997,0.481578947368421,63.8,1.6789473684210525
2024-25,Nott'ham Forest,2024,7,test,65,12,38,58,46,1.7105263157894737,0.3157894736842105,45.5,48.9,-3.3999999999999986,-0.08947368421052627,45.5,1.1973684210526316
2024-25,Southampton,2024,7,test,12,-60,38,26,86,0.3157894736842105,-1.5789473684210527,32.7,84.8,-52.099999999999994,-1.3710526315789473,32.7,0.8605263157894738
2024-25,Tottenham,2024,7,test,38,-1,38,64,65,1.0,-0.02631578947368421,58.8,63.3,-4.5,-0.11842105263157894,58.8,1.5473684210526315
2024-25,West Ham,2024,7,test,43,-16,38,46,62,1.131578947368421,-0.42105263157894735,47.0,59.7,-12.700000000000003,-0.33421052631578957,47.0,1.236842105263158
2024-25,Wolves,2024,7,test,42,-15,38,54,69,1.105263157894737,-0.39473684210526316,43.7,58.1,-14.399999999999999,-0.3789473684210526,43.7,1.1500000000000001
